raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,typo_candidate,suggested_correction
Imperial,1979,,1979.0,False,40,15,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Imperial,Amrut Herald,50,No close match found,,
Inchgower,1993,,1993.0,False,43,7,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Inchgower,Inchgower 14yo (F&F),67,No close match found,,
Invergordon,10yo,10.0,,False,40,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Invergordon,Golden Distillery,50,No close match found,,
Inverleven,1991,,1991.0,False,40,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Inverleven,Glenlivet Cipher,54,No close match found,,
Jura,16yo,16.0,,False,40,7,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Jura,Jura 21yo,62,No close match found,,
Jonnie Walker,15yo,15.0,,False,43,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Jonnie Walker,Johnnie Walker Red Label,70,No close match found,True,Johnnie Walker
Knockando,12yo,12.0,,False,43,6,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Knockando,Knockando 12yo (All Vintages),50,No close match found,,
Kilochman,no statement,,,True,43,7,False,Laphroig Quarter Cask 48% Laphroig 3 wood 48% 6. Ledaig (Isle of Mull) 10yo 40% Ledaig 1990 40% 8. Ledaig 1993/17yo 43% 8. Leinburn 12yo 43% 6. Linkwood 15yo 43% 8. Linkwood 18yo 46% 15. Littlemill 8yo 40% 20. Lochindaal 10yo 43% 7. Loch Ness no statement 40% 8. Lochside 1981 40% 20. Lochside 1991 43% 8. Longmorn 12yo 43% 8. Longmorn Glenlivet 10yo 40% 15. Longmorn Glenlivet 12yo 45% 35. Longrow (Campeltown) 1993/10yo 46% 10. Macallan Fine Oak 10yo 40% 6.,10,The_Malt_List.pdf,historical_bar_menu,medium,Kilochman,Kilchoman Sanaig,64,No close match found,True,Kilchoman
Macallan,10yo,10.0,,False,57,15,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Macallan,Macallan Ruby,76,No close match found,,
Macallan 1861 replica,,,,False,42.7,20,False,An edition that tried to recapture 19th century bottles that were opened at Macallan.’MK,11,The_Malt_List.pdf,historical_bar_menu,medium,Macallan 1861 replica,Macallan Reflexion,67,No close match found,,
MacPhail,10yo,10.0,,False,40,7,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,MacPhail,Acha,67,No close match found,,
Macduff,14yo,14.0,,False,57.8,9,True,,11,The_Malt_List.pdf,historical_bar_menu,medium,Macduff,Macardo,57,No close match found,,
Mannochmore,12yo,12.0,,False,43,7,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mannochmore,Mannochmore 12yo (F&F),71,No close match found,,
Millburn,1976,,1976.0,False,46,20,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Millburn,Willowbank,56,No close match found,,
Millburn,25yo,25.0,,False,55.9,25,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Millburn,Willowbank,56,No close match found,,
Miltonduff,12yo,12.0,,False,43,8,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Miltonduff,Miltonduff 10yo (F&F),69,No close match found,,
Mortlach,1999/13yo,13.0,1999.0,False,43,7,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,76,No close match found,,
Mortlach,21yo,21.0,,False,43,10,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,76,No close match found,,
Mortlach,16yo,16.0,,False,43,8,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,76,No close match found,,
Mortlach,1990/17yo,17.0,1990.0,False,46,9,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Mortlach,Mortlach 16yo,76,No close match found,,
North Port,1979/20yo,20.0,1979.0,False,61.2,20,True,,11,The_Malt_List.pdf,historical_bar_menu,medium,North Port,Amrut Portonova,56,No close match found,,
Oban,14yo,14.0,,False,43,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Oban,Oban 21yo,62,No close match found,,
Old Rhosdhu,5yo,5.0,,False,40,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Rhosdhu,Old Overholt,61,No close match found,,
Penderyn (Welsh),no statement,,,True,46,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Penderyn (Welsh),Penderyn,73,No close match found,,
Pittyvaich,12yo,12.0,,False,43,8,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,56,No close match found,,
Pittyvaich,1993,,1993.0,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,56,No close match found,,
Pittyvaich,1985,,1985.0,False,57.3,10,True,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,56,No close match found,,
Poit Dhubh,21yo,21.0,,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Poit Dhubh,Ballast Point,52,No close match found,,
Pride of Orkney,12yo,12.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pride of Orkney,Bowmore Springtide,61,No close match found,,
Pride of Strathspey,12yo,12.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pride of Strathspey,The Splinter Group Spirits,53,No close match found,,
Rosebank,1990/20yo,20.0,1990.0,False,43,20,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Rosebank,Willowbank,56,No close match found,,
St Magdalene,1979/19yo,19.0,1979.0,False,63.8,39,False,"A now silient distillery in Linlithgow that ceased production in 1983.An excellent malt, picking up a stack of 90+ scores from the Malt Maniacs.’MK",12,The_Malt_List.pdf,historical_bar_menu,medium,St Magdalene,Canadian Mist,56,No close match found,,
Scapa (Orkney),16yo,16.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Scapa (Orkney),Scapa 16yo,64,No close match found,,
Scapa,1993/15yo,15.0,1993.0,False,57.1,9,True,,12,The_Malt_List.pdf,historical_bar_menu,medium,Scapa,Scapa 16yo,67,No close match found,,
Sheep Dip,8yo,8.0,,False,40,9,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Sheep Dip,Sheep Dip Blended Malt,58,No close match found,,
Singleton,10yo,10.0,,False,40,20,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Singleton,StilltheOne,60,No close match found,,
Singleton,12yo,12.0,,False,40,6,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Singleton,StilltheOne,60,No close match found,,
Smokehead,no statement,,,True,43,7,False,Springbank (Campbeltown) 10yo 46% 6. ‘A delicious malt from Campbeltown and one of my firm favourites. The 10 is rich and dry with just a little smoke on the palate.’ MK,12,The_Malt_List.pdf,historical_bar_menu,medium,Smokehead,Iron Smoke,53,No close match found,,
