raw_name,norm_basic,norm_alias,sources,mention_count,owner,country,region,founded,type,status,match_method_used
Ballechin,ballechin,ballechin,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Banff,banff,banff,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Speyside,,A2 - Alembic,,unmatched
Bankier,bankier,bankier,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Ben Morven,ben morven,ben morven,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Ben Wyvis,ben wyvis,ben wyvis,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Benachie,benachie,benachie,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Benbecula,benbecula,benbecula,data/books/yeni veriler/distilleries.csv,1,Angus A. MacMillan,Scotland,Island,,A2 - Alembic,,unmatched
Benmore,benmore,benmore,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Blackness,blackness,blackness,data/books/yeni veriler/distilleries.csv,1,Colm O'Rourke,Scotland,Lowland,,A2 - Alembic,,unmatched
Blacks of Kinsale,blacks of kinsale,blacks of kinsale,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,Blacks of Kinsale Distillery Ltd.,Ireland,Cork,,"Single Malt, Blended",,unmatched
Bon Accord,bon accord,bon accord,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Borders,borders,borders,data/books/yeni veriler/distilleries.csv,1,The Three Stills Company,Scotland,Lowland,,A2 - Alembic,,unmatched
Bulleit Distilling Co,bulleit distilling co,bulleit distilling co,data/books/yeni veriler/distilleries.csv,1,Diageo,USA,Kentucky,,C - Column,,unmatched
Burnside,burnside,burnside,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
