smws_code,whisky_id,name
7.80,0da48c20-08fd-5ba8-9a80-2a0d64b06a64,SMWS 7.80 - SMWS 7.80
7.85,997f0a5e-b3f5-58e0-ac91-7cb6108a8e0f,SMWS 7.85 - SMWS 7.85
7.89,603361f9-a081-5e15-86ae-29a3863bbf57,SMWS 7.89 - SMWS 7.89
7.93,f8d9a3db-10da-5584-9764-dc3aa0f2d074,SMWS 7.93 - SMWS 7.93
7.94,bac17ee6-ba73-5d9b-a9ba-b259420ef1e7,SMWS 7.94 - SMWS 7.94
7.97,085b02c9-ff1e-5311-9b20-b12c22a6eaae,SMWS 7.97 - SMWS 7.97
7.98,9d19f57d-5f19-527e-a2ca-b04899fc0746,SMWS 7.98 - SMWS 7.98
008.35,84988f3e-cf4b-5393-a126-a0ec96601f21,SMWS 008.35 - Foxgloves and Spangles
8.42,c3dce1c4-9531-51fe-b1b6-0b2edc1a5e7d,SMWS 8.42 - Fruity
009.35,489bcdd6-48d3-52f4-b288-234c1d30a9dc,SMWS 009.35 - Fun Fair Food Stalls
9.47,1d6101de-f1a8-5767-9f46-789a3117d799,"SMWS 9.47 - creamy rice pudding, dusted with gold leaf
and ground ginger"
9.57,d0bf10ba-7a56-5074-b833-08e374cec988,SMWS 9.57 - seduction whisky
9.59,0b82dcc4-3f08-5be6-952e-d8b2cac072e3,"SMWS 9.59 - malty

gold dust"
9.60,10e9d25e-fd53-5de8-8ed4-dc2a3d1251cb,SMWS 9.60 - SMWS 9.60
9.62,247ccbeb-08fe-5417-818f-d8091f1c01f1,SMWS 9.62 - SMWS 9.62
9.66,6c1c7820-11cc-5e6e-9370-34fe66ab652f,SMWS 9.66 - SMWS 9.66
9.69,b48c2946-4487-5460-9bf9-67eeba662ea4,SMWS 9.69 - SMWS 9.69
9.74,5f1f39e3-d220-5d4e-81d3-5f211f45b43c,SMWS 9.74 - SMWS 9.74
9.76,cd376a51-6ca5-5f5a-9e66-10b97d79c4f4,SMWS 9.76 - SMWS 9.76
9.78,271312f3-d211-5822-a9f1-eb952a70c92b,SMWS 9.78 - SMWS 9.78
9.79,e31a77ba-fd9e-5527-8b32-bfb221e39fdc,SMWS 9.79 - SMWS 9.79
9.84,1ebbdb55-ef1e-5cb4-a3e1-212a505d50e3,SMWS 9.84 - SMWS 9.84
10.75,3e811c2f-4fe1-5cd1-8474-2eeac5fdd9fa,SMWS 10.75 - SMWS 10.75
10.76,63c13200-4827-547d-9592-5a9864db6374,SMWS 10.76 - SMWS 10.76
10.77,52bef5e6-a5a3-5e3d-b5b9-94d7768fbd42,SMWS 10.77 - SMWS 10.77
10.81,62ae6332-c805-5bbb-b9da-caadffc0febf,SMWS 10.81 - SMWS 10.81
10.85,bfb56a35-b717-5916-8048-294f0e5587f9,SMWS 10.85 - SMWS 10.85
10.87,833d99e1-858a-5b8c-b999-517e04bb7707,SMWS 10.87 - SMWS 10.87
10.88,095ed3f1-39f5-5ffa-8aee-268daa1be826,SMWS 10.88 - SMWS 10.88
10.92,dc70b562-1159-5c0a-a834-ff0ed313a132,SMWS 10.92 - SMWS 10.92
10.99,6bfcd3a9-d5a1-58bd-b708-1f03078d66c1,SMWS 10.99 - SMWS 10.99
100.12,4b3de087-6462-5231-a3d5-5f36575d60c2,SMWS 100.12 - SMWS 100.12
011.24,51d1180f-309b-56fe-bbd3-ca544e93784f,"SMWS 011.24 - Peat, Grass and Delicate Fruits"
011.27,cf69d863-e2c8-5e0e-b3fc-5ca1f66a8096,SMWS 011.27 - Floral Notes and Honey
013.37,b36dfe72-758b-5bb2-bd87-b4067faa5f52,SMWS 013.37 - Peaches and Apricot Jam
13.44,00bf2de7-aa9f-56c5-9bad-251e9ef209d7,SMWS 13.44 - What a stoater!
13.47,5f0a3cd8-1703-581f-bc4f-9c935c333d8a,SMWS 13.47 - SMWS 13.47
16.30,e9e53564-8947-5707-a819-fc8330a7aa9f,SMWS 16.30 - SMWS 16.30
16.32,6deb1e12-ebe1-517a-beef-f215484a59db,SMWS 16.32 - SMWS 16.32
17.32,438c8685-481e-5fb3-ab5d-4e6a851e9d24,SMWS 17.32 - SMWS 17.32
17.35,c689f2f3-bf99-50a5-ad12-b79b75e11892,SMWS 17.35 - SMWS 17.35
018.23,0b2cffd1-564c-580d-8d74-de138672f942,SMWS 018.23 - A Farmer's Friend
021.22,9bc67431-e858-5c7c-a670-7983c28f14cf,"SMWS 021.22 - Seaweed, Soap and a Bracing Breeze"
21.25,a003e793-e244-55be-849d-627ccd0f169b,SMWS 21.25 - SMWS 21.25
021.26,4f5137ff-db9b-50ed-aed2-5239a7953289,SMWS 021.26 - Cotton Candy and Lipstick
022.10,4b1a4191-b437-5d80-a066-38889af413f5,SMWS 022.10 - Apples and Grapefruit
22.23,fd7b2a97-d5e8-56f6-b03f-a68591ff085c,SMWS 22.23 - A Lively Brunch Dram
22.25,c8e7c7c0-992b-5b2b-8a20-b75ca0b224ca,"SMWS 22.25 - Anytime, anywhere, any-why"
22.28,e53e858b-a8f7-5b7e-9fc6-ab1c8bcca7f4,SMWS 22.28 - SMWS 22.28
22.29,cbe45610-b791-5769-84ed-a61a1df71386,SMWS 22.29 - SMWS 22.29
23.39,33dfae40-73c8-5be1-a67b-5fb91f3fe9a7,"SMWS 23.39 - Laundry, Violets & a Cinnamon Spiciness"
23.51,3f8a6602-ccaf-5f8b-b348-9ce76750afdf,SMWS 23.51 - Something of the Night
23.62,b5d3c297-c493-5c8f-b5a2-e31d15217c0f,SMWS 23.62 - SMWS 23.62
23.67,af2ffb32-dd5f-5160-953c-301c3f0a5209,SMWS 23.67 - SMWS 23.67
23.70,3b535169-85ca-50a3-bb5e-f3a25d9fbccd,SMWS 23.70 - SMWS 23.70
23.71,a773ee7d-2049-5dd9-9256-e753b986b2d3,SMWS 23.71 - SMWS 23.71
23.72,fe277e32-849a-5740-86b6-ed4f1765468b,SMWS 23.72 - SMWS 23.72
23.73,b6f3a48f-b6ce-5d8c-9ed0-9152e8ed1267,SMWS 23.73 - SMWS 23.73
24.96,02a86d9a-5af2-5e4a-bb77-9af6fae9f63d,SMWS 24.96 - Scented and Soporific
24.98,c3facd38-30f5-5a7f-bfe7-71ae09afa327,"SMWS 24.98 - Succulent Raisin, Figs and Toffee"
26.100,d88b74f9-9f43-5023-ad59-8453fcd1315a,SMWS 26.100 - SMWS 26.100
26.102,271d5220-383f-5b8d-b377-8b5e132554b2,SMWS 26.102 - SMWS 26.102
26.105,3b362ac6-c8e3-58a9-9480-ea3bbc64d0cb,SMWS 26.105 - SMWS 26.105
26.106,953626cf-c3a9-5f27-a38a-58431d073257,SMWS 26.106 - SMWS 26.106
26.117,38037202-7260-5e4c-8573-08b674fa414a,SMWS 26.117 - SMWS 26.117
026.39,74b6cb19-6227-5f01-9758-5cb4aa860e5a,SMWS 026.39 - A Surprising Explosion
26.49,62b0665b-f8a0-5e68-a226-9c3cee92b809,"SMWS 26.49 - Oak, Smoke and Liquorice"
26.62,eb520084-b461-5b08-bbb3-15cb5284f20a,"SMWS 26.62 - a bear hug from an old
  friend"
26.65,f940e7e2-2b86-5539-965c-48e17d84caab,SMWS 26.65 - SMWS 26.65
26.67,937885e0-2c59-5768-ad9b-68d237d8bb44,SMWS 26.67 - SMWS 26.67
26.80,fee204ef-9f9c-58a7-8869-1abdbe190ae6,SMWS 26.80 - SMWS 26.80
26.81,656c8b8b-2759-5206-a849-4b19b482e1d8,SMWS 26.81 - SMWS 26.81
26.84,7c36c5d6-0365-5fc3-b2f8-ecafd7ada20b,SMWS 26.84 - SMWS 26.84
26.86,2d1a7d56-7403-5197-b847-040b51e6008e,SMWS 26.86 - SMWS 26.86
26.87,1c55b5b8-72e3-5ddc-b78f-5ed4194a22c9,SMWS 26.87 - SMWS 26.87
26.89,0bd4089d-4462-582a-a315-cecbf1360c79,SMWS 26.89 - SMWS 26.89
26.92,4abe48d8-a74f-5fe1-973c-9dcfb08f7cf0,SMWS 26.92 - SMWS 26.92
26.95,c8d18f9b-c6ec-562e-9451-64d67765f277,SMWS 26.95 - SMWS 26.95
26.97,674d5c67-6c9c-55cd-91af-ac7ca89bef94,SMWS 26.97 - SMWS 26.97
26.99,c237a668-ac1d-5592-ae23-24d77e4e1a32,SMWS 26.99 - SMWS 26.99
27.110,1764dc8a-2501-5e70-9d2e-349c78c6a71c,SMWS 27.110 - SMWS 27.110
027.56,ffbc3db7-ef35-505e-a429-f264a2460d63,"SMWS 027.56 - Dried Japanese Seaweed in
                a Varnished Boat"
28.25,535e571f-dd40-5900-a939-275b6c7bfa14,SMWS 28.25 - SMWS 28.25
28.26,7d5208d8-e8f2-5f60-9796-8be168cd91df,SMWS 28.26 - SMWS 28.26
28.27,19980adc-80d9-5365-a150-68add5e0b3bf,SMWS 28.27 - SMWS 28.27
28.30,824f65ab-ef02-57bd-a02a-e26b772d8033,SMWS 28.30 - SMWS 28.30
29.154,4b371400-8da6-5055-a3bb-e5572178e52d,SMWS 29.154 - SMWS 29.154
