whisky_id,field,current_value,proposed_value,confidence,source,status,classification
a1b32118-e956-521b-8a60-d5dc187b5f49,age,,21.0,0.95,smws,pending,NO_CHANGE
a1b32118-e956-521b-8a60-d5dc187b5f49,abv,,46.4,0.95,smws,pending,NO_CHANGE
a1b32118-e956-521b-8a60-d5dc187b5f49,region,,Islay,0.95,smws,pending,NO_CHANGE
417aac1b-cbd2-5e52-8330-ca1f31547bcd,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
417aac1b-cbd2-5e52-8330-ca1f31547bcd,age,,15.0,0.95,smws,pending,NO_CHANGE
417aac1b-cbd2-5e52-8330-ca1f31547bcd,abv,,61.0,0.95,smws,pending,NO_CHANGE
417aac1b-cbd2-5e52-8330-ca1f31547bcd,region,,Islay,0.95,smws,pending,NO_CHANGE
9eed4bf3-025b-52d6-94aa-6a07e8433212,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
9eed4bf3-025b-52d6-94aa-6a07e8433212,age,,16.0,0.95,smws,pending,NO_CHANGE
9eed4bf3-025b-52d6-94aa-6a07e8433212,abv,,57.9,0.95,smws,pending,NO_CHANGE
9eed4bf3-025b-52d6-94aa-6a07e8433212,region,,Islay,0.95,smws,pending,NO_CHANGE
bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,age,,14.0,0.95,smws,pending,NO_CHANGE
bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,abv,,57.2,0.95,smws,pending,NO_CHANGE
bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,region,,Islay,0.95,smws,pending,NO_CHANGE
7d63ad9e-bce9-5249-8352-29a3cce2ac7e,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
7d63ad9e-bce9-5249-8352-29a3cce2ac7e,age,,14.0,0.95,smws,pending,NO_CHANGE
7d63ad9e-bce9-5249-8352-29a3cce2ac7e,abv,,58.8,0.95,smws,pending,NO_CHANGE
7d63ad9e-bce9-5249-8352-29a3cce2ac7e,region,,Islay,0.95,smws,pending,NO_CHANGE
9fddc56d-264c-5c5e-87df-c0c9f37e941a,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
9fddc56d-264c-5c5e-87df-c0c9f37e941a,age,,14.0,0.95,smws,pending,NO_CHANGE
9fddc56d-264c-5c5e-87df-c0c9f37e941a,abv,,58.4,0.95,smws,pending,NO_CHANGE
9fddc56d-264c-5c5e-87df-c0c9f37e941a,region,,Islay,0.95,smws,pending,NO_CHANGE
a1e1e40f-fd49-5cda-b8da-6055bc6696da,cask_type,,butt;sherry butt,0.95,smws,pending,NO_CHANGE
a1e1e40f-fd49-5cda-b8da-6055bc6696da,age,,24.0,0.95,smws,pending,NO_CHANGE
a1e1e40f-fd49-5cda-b8da-6055bc6696da,abv,,50.8,0.95,smws,pending,NO_CHANGE
a1e1e40f-fd49-5cda-b8da-6055bc6696da,region,,Islay,0.95,smws,pending,NO_CHANGE
9371a2f2-e061-5c4d-9a68-9c62625d1520,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
9371a2f2-e061-5c4d-9a68-9c62625d1520,age,,16.0,0.95,smws,pending,NO_CHANGE
9371a2f2-e061-5c4d-9a68-9c62625d1520,abv,,59.4,0.95,smws,pending,NO_CHANGE
9371a2f2-e061-5c4d-9a68-9c62625d1520,region,,Islay,0.95,smws,pending,NO_CHANGE
dec91460-c3a1-54b8-9375-20972a55f20d,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
dec91460-c3a1-54b8-9375-20972a55f20d,age,,15.0,0.95,smws,pending,NO_CHANGE
dec91460-c3a1-54b8-9375-20972a55f20d,abv,,56.9,0.95,smws,pending,NO_CHANGE
dec91460-c3a1-54b8-9375-20972a55f20d,region,,Islay,0.95,smws,pending,NO_CHANGE
82168ee9-dd26-564a-a37d-71802cfb9a50,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
82168ee9-dd26-564a-a37d-71802cfb9a50,age,,17.0,0.95,smws,pending,NO_CHANGE
82168ee9-dd26-564a-a37d-71802cfb9a50,abv,,58.9,0.95,smws,pending,NO_CHANGE
82168ee9-dd26-564a-a37d-71802cfb9a50,region,,Islay,0.95,smws,pending,NO_CHANGE
bddb9ac9-35a3-5f53-9c5c-dcf1f3081c69,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
bddb9ac9-35a3-5f53-9c5c-dcf1f3081c69,age,,18.0,0.95,smws,pending,NO_CHANGE
bddb9ac9-35a3-5f53-9c5c-dcf1f3081c69,abv,,55.2,0.95,smws,pending,NO_CHANGE
bddb9ac9-35a3-5f53-9c5c-dcf1f3081c69,region,,Islay,0.95,smws,pending,NO_CHANGE
41299eec-9a5b-53bc-8c94-52ed6139f017,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
41299eec-9a5b-53bc-8c94-52ed6139f017,age,,16.0,0.95,smws,pending,NO_CHANGE
41299eec-9a5b-53bc-8c94-52ed6139f017,abv,,55.6,0.95,smws,pending,NO_CHANGE
41299eec-9a5b-53bc-8c94-52ed6139f017,region,,Islay,0.95,smws,pending,NO_CHANGE
59774bf2-8a22-52ba-ba4c-45a2321293ea,cask_type,,first-fill barrel,0.95,smws,pending,NO_CHANGE
59774bf2-8a22-52ba-ba4c-45a2321293ea,age,,13.0,0.95,smws,pending,NO_CHANGE
59774bf2-8a22-52ba-ba4c-45a2321293ea,abv,,54.3,0.95,smws,pending,NO_CHANGE
59774bf2-8a22-52ba-ba4c-45a2321293ea,region,,Islay,0.95,smws,pending,NO_CHANGE
cc764bc3-47c4-5780-90bb-246147cbd070,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
cc764bc3-47c4-5780-90bb-246147cbd070,age,,19.0,0.95,smws,pending,NO_CHANGE
cc764bc3-47c4-5780-90bb-246147cbd070,abv,,54.2,0.95,smws,pending,NO_CHANGE
cc764bc3-47c4-5780-90bb-246147cbd070,region,,Islay,0.95,smws,pending,NO_CHANGE
a2e5065b-6368-5eab-8613-06393762ff3e,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
a2e5065b-6368-5eab-8613-06393762ff3e,age,,16.0,0.95,smws,pending,NO_CHANGE
a2e5065b-6368-5eab-8613-06393762ff3e,abv,,58.3,0.95,smws,pending,NO_CHANGE
a2e5065b-6368-5eab-8613-06393762ff3e,region,,Islay,0.95,smws,pending,NO_CHANGE
7ecbfeb2-478b-5b11-b6d7-23e768d070a7,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
7ecbfeb2-478b-5b11-b6d7-23e768d070a7,age,,16.0,0.95,smws,pending,NO_CHANGE
7ecbfeb2-478b-5b11-b6d7-23e768d070a7,abv,,56.4,0.95,smws,pending,NO_CHANGE
7ecbfeb2-478b-5b11-b6d7-23e768d070a7,region,,Islay,0.95,smws,pending,NO_CHANGE
81eda28f-9ccc-5421-a409-d523aa3a6e2a,cask_type,,refill,0.95,smws,pending,NO_CHANGE
81eda28f-9ccc-5421-a409-d523aa3a6e2a,age,,26.0,0.95,smws,pending,NO_CHANGE
81eda28f-9ccc-5421-a409-d523aa3a6e2a,abv,,51.3,0.95,smws,pending,NO_CHANGE
b5f68bce-5f42-59c4-873b-2fbfa0192d68,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
b5f68bce-5f42-59c4-873b-2fbfa0192d68,age,,16.0,0.95,smws,pending,NO_CHANGE
6173d1c2-a8f7-5a2e-9aef-a6a9dddc8ee0,cask_type,,refill,0.95,smws,pending,NO_CHANGE
