staging_id,smws_code,staging_name,matched_whisky_id,matched_name,score,classification,age,abv
55,3.187,Islay,bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,Bowmore SMWS 3.187 - SMWS 3.187,0.9311,EXACT,14.0,57.2
56,3.188,Islay,7d63ad9e-bce9-5249-8352-29a3cce2ac7e,Bowmore SMWS 3.188 - SMWS 3.188,0.9311,EXACT,14.0,58.8
57,3.189,Islay,9fddc56d-264c-5c5e-87df-c0c9f37e941a,Bowmore SMWS 3.189 - SMWS 3.189,0.9311,EXACT,14.0,58.4
58,3.201,Islay,a1e1e40f-fd49-5cda-b8da-6055bc6696da,Bowmore SMWS 3.201 - SMWS 3.201,0.9311,EXACT,24.0,50.8
59,3.205,Islay,9371a2f2-e061-5c4d-9a68-9c62625d1520,Bowmore SMWS 3.205 - SMWS 3.205,0.9311,EXACT,16.0,59.4
60,3.206,Islay,dec91460-c3a1-54b8-9375-20972a55f20d,Bowmore SMWS 3.206 - SMWS 3.206,0.9311,EXACT,15.0,56.9
61,3.210,Islay,82168ee9-dd26-564a-a37d-71802cfb9a50,Bowmore SMWS 3.210 - SMWS 3.210,0.9311,EXACT,17.0,58.9
62,3.215,Islay,bddb9ac9-35a3-5f53-9c5c-dcf1f3081c69,Bowmore SMWS 3.215 - SMWS 3.215,0.9311,EXACT,18.0,55.2
63,3.217,Islay,41299eec-9a5b-53bc-8c94-52ed6139f017,Bowmore SMWS 3.217 - SMWS 3.217,0.9311,EXACT,16.0,55.6
64,3.219,Islay,59774bf2-8a22-52ba-ba4c-45a2321293ea,Bowmore SMWS 3.219 - SMWS 3.219,0.9311,EXACT,13.0,54.3
65,3.221,Islay,cc764bc3-47c4-5780-90bb-246147cbd070,Bowmore SMWS 3.221 - SMWS 3.221,0.9311,EXACT,19.0,54.2
66,3.226,Islay,a2e5065b-6368-5eab-8613-06393762ff3e,Bowmore SMWS 3.226 - SMWS 3.226,0.9311,EXACT,16.0,58.3
67,3.227,Islay,7ecbfeb2-478b-5b11-b6d7-23e768d070a7,Bowmore SMWS 3.227 - SMWS 3.227,0.9311,EXACT,16.0,56.4
68,3.229,OLD & DIGNIFIED,81eda28f-9ccc-5421-a409-d523aa3a6e2a,Bowmore SMWS 3.229 - SMWS 3.229,0.9326,EXACT,26.0,51.3
69,3.234,P E AT E D,b5f68bce-5f42-59c4-873b-2fbfa0192d68,Bowmore SMWS 3.234 - SMWS 3.234,0.8839,STRONG,16.0,
70,3.235,L I G H T LY P E AT E D,6173d1c2-a8f7-5a2e-9aef-a6a9dddc8ee0,Bowmore SMWS 3.235 - SMWS 3.235,0.933,EXACT,26.0,50.9
71,3.238,O I LY & C OA S TA L,7e2dd5b9-7997-55e0-ba95-2561e478d29d,Bowmore SMWS 3.238 - SMWS 3.238,0.9347,EXACT,17.0,56.5
72,3.241,P E AT E D,35cca668-e02e-5e6f-9e57-0609cc73d833,Bowmore SMWS 3.241 - SMWS 3.241,0.9339,EXACT,16.0,55.9
73,3.254,O I LY & C OA S TA L,5e380fac-f8d0-5272-9055-951bb15ca470,Bowmore SMWS 3.254 - SMWS 3.254,0.9347,EXACT,19.0,58.1
74,3.266,PEATED,dcc896ed-ac13-58d9-b6e5-7a762692414e,Bowmore SMWS 3.266 - SMWS 3.266,0.9311,EXACT,15.0,56.3
75,3.270,OILY & COASTAL,f8de9132-49dc-5638-acae-f78c8e6986e2,Bowmore SMWS 3.270 - SMWS 3.270,0.9336,EXACT,18.0,55.8
76,3.274,LIGHTLY PEATED,02c1442c-b077-50ba-80f2-17d811a6d0d2,Bowmore SMWS 3.274 - SMWS 3.274,0.9309,EXACT,20.0,53.1
77,3.87,Old Boat Varnish and Very Smoky,5d3f8399-d8ce-5f0a-b597-db701aefb0f6,Bowmore SMWS 3.87 - Old Boat Varnish and Very Smoky,0.9451,EXACT,14.0,54.3
78,3.97,No Water Required,0b9d77e4-659a-59ee-a1a0-c30bc035b351,Bowmore SMWS 3.97 - No Water Required,0.9426,EXACT,22.0,48.3
