whisky_id,field,column,current_value,proposed_value,action,field_class,confidence,citation_id,source,dedupe_key,conflict
0dccc341-154b-5284-962c-a6bd0040f621,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_d690d4991c2004e2c0ef2f3ce6748669d27bc487929f0c79a07cdd7f694118f8,smws,ae8d4327c18398680ced6677e357548c644aa8e1681ef04f3417ccaac5f8d1e7,fill_null
0dccc341-154b-5284-962c-a6bd0040f621,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_d690d4991c2004e2c0ef2f3ce6748669d27bc487929f0c79a07cdd7f694118f8,smws,ab073a05dd073dfaecae1e098d5cdd5c1c834a59d483aac922d374066da7fed4,fill_null
0e11e7bd-1ca1-51c2-a5d2-3ebd538c0ae6,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_19980e34ef32ea8cf45523208d5f71eee2a2acacad17971e4767a55293eda71d,smws,78e3e0504d188ee4cc7a1800978ac4a7157d0a1f70869fb943d9fa44a745fe15,fill_null
0e11e7bd-1ca1-51c2-a5d2-3ebd538c0ae6,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_19980e34ef32ea8cf45523208d5f71eee2a2acacad17971e4767a55293eda71d,smws,1134bffa048e7f66ccaef8c6047a18c199953a1cee6dd903f80088865aaee983,fill_null
0eb2c004-ff1c-57fa-985b-03271491f196,cask_type,cask_type,,butt;sherry butt,APPEND,APPEND,0.95,CIT_055f38cefa37cb314c8558a9c33f27fd1ef316d87a3086f1331205a5a57f254f,smws,0cfb2765a4e070e8213f914b76e155485a981eb7351f36d584f6c8dc6b297b02,fill_null
0eb2c004-ff1c-57fa-985b-03271491f196,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_055f38cefa37cb314c8558a9c33f27fd1ef316d87a3086f1331205a5a57f254f,smws,95e0a955fab9e73dc9620766c69cfffb579d2effbb8746324cb5de44075690f9,fill_null
0efb9d47-4282-5b6a-8374-e789c8ae4d42,cask_type,cask_type,,first-fill barrel,APPEND,APPEND,0.95,CIT_8566f5a7d5e2e27cedf9c69d2e35263c8b6115d79db62b6ebfbbe54fb7002631,smws,1393a55e6f155e9bdae5573fd70eba7a071fa98bbff3303459b155d8d89c4dca,fill_null
0efb9d47-4282-5b6a-8374-e789c8ae4d42,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_8566f5a7d5e2e27cedf9c69d2e35263c8b6115d79db62b6ebfbbe54fb7002631,smws,370fac3d24702a0bb6ac451ef6929e237c90414d2fdfea865214de9d29f762c3,fill_null
0f01956b-105b-5d7a-aee4-cfcfcee1bf9b,region,region,Islay / District,Islay / District,APPLY,REPLACE,0.95,CIT_3c2d9b30f634dd9be2158cac61d57bf62b0ad123260db951889e25cd5fbb0817,smws,b339b46eee243ff21a2360de707bda0b1ae2e9a2c5fdb0829cd5bcdb049746b4,skipped_existing_stronger
0f9afeae-b37e-5bc1-af6d-e25c0047c034,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_37798c2eb00df7397acf52909dae9f3ad1d5258bfa94e8fd865405bd677cca68,smws,fc3d34ac98ab063ed612200d9f2b36c9eccc7a9a2f46e2736e74238b405b9f28,fill_null
