raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,matched_whisky_id,matched_master_name,match_status
Glen Deveron,10yo,10.0,,False,40,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Deveron,Glen Deveron 10yo (Macduff),14,No close match found,,,,,,W001407,lot 40,REJECTED
Glendullan,12yo,12.0,,False,43,8,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glendullan,Glen Kella,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glen Elgin,1995,,1995.0,False,46,9,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Elgin,Glen Elgin 12yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenesk,1982,,1982.0,False,40,15,False,Glenfarclas belongs to a private family owned company somewhat a rarity in the Speyside region these days. A complex malt that is crisp and dry with sweet sherry notes.’ MK,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenesk,Gölles,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenfarclas,15yo,15.0,,False,46,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenfarclas,Glenfarclas 105,14,Fuzzy match threshold,,,WDB-00199,,,W001407,lot 40,REJECTED
Glenfarclas,21yo,21.0,,False,43,9,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenfarclas,Glenfarclas 105,14,Fuzzy match threshold,,,WDB-00199,,,W001407,lot 40,REJECTED
Glenfarclas 105,no statement,,,True,60,7,True,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenfarclas 105,Glenfarclas 105,14,ABV mismatch or missing,,,WDB-00199,,,W001407,lot 40,REJECTED
Glen Forres,8yo,8.0,,False,40,6,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forres,Glen Els,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glen Forsa,12yo,12.0,,False,43,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forsa,Glen Els,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenfiddich,18yo,18.0,,False,40,7,False,,7,The_Malt_List.pdf,historical_bar_menu,medium,Glenfiddich,Glenfiddich 30yo,14,Fuzzy match threshold,30.0,,WDB-00410,,,W001407,lot 40,REJECTED
Glenfiddich rich oak,no statement,,,True,40,7,False,Glenkinchie distillers ed. 1996 43% 7. Glenlivet 12yo 40% Glenlivet 15yo 40% 7. Glenlivet 18yo 43% 9. Glenlochy 1977 40% 25. Glenlossie 10yo 40% 6. Glenlossie 1974 43% 15.,7,The_Malt_List.pdf,historical_bar_menu,medium,Glenfiddich rich oak,Glenfiddich 14yo Rich Oak,14,Fuzzy match threshold,14.0,,WDB-00563,,,W001407,lot 40,REJECTED
Glen Mhor,1980,,1980.0,False,43,12,False,,8,The_Malt_List.pdf,historical_bar_menu,medium,Glen Mhor,Glen Moray 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
