uuid_whisky_id,matched_w_id,match_type,confidence_score,match_basis,distillery_id,age,abv
1b3b0b6f-62fe-5bde-a822-73bcc7f2d478,W000002,weak,0.6,distillery_id(only),D0002,10.0,56.1
031087b9-d026-59a9-ae43-6a52d8eb36ad,W000002,weak,0.6,distillery_id(only),D0002,16.0,52.7
71c09f39-7f4f-52b5-9ca3-fa9ce9f320e5,W000002,weak,0.6,distillery_id(only),D0002,10.0,56.5
3e599b3c-56e3-55e7-878b-9d3ad09344ee,W000002,weak,0.6,distillery_id(only),D0002,9.0,60.9
44db02f0-d229-5eb3-ad25-2357b7019d6e,W000002,weak,0.6,distillery_id(only),D0002,10.0,63.2
a3c6004b-a4ba-5168-88c3-cdb7c8e3c34d,W000002,weak,0.6,distillery_id(only),D0002,20.0,59.1
84732bb1-b1d2-5f89-8803-5833614ecd84,W001980,weak,0.6,distillery_id(only),D0991,11.0,56.3
52e35574-90b6-5871-bfba-34ee0da64572,W001980,weak,0.6,distillery_id(only),D0991,11.0,55.4
cf60ff5e-1643-54ed-aeff-cf4cf3976182,W001980,weak,0.6,distillery_id(only),D0991,7.0,64.4
fa6c1dee-a4d6-5a4d-9d30-4fd05495ac2e,W001980,weak,0.6,distillery_id(only),D0991,11.0,56.1
42ec3bc6-eb54-58b0-addb-16bbfbc88dfb,W001980,weak,0.6,distillery_id(only),D0991,8.0,59.9
50b0a8ef-c78a-5168-98e6-797f284bc67d,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,39.0,46.2
5ce7f1cc-e838-5a71-9eaa-ec48050a18b5,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,26.0,45.9
d717c486-c25f-5650-a7ba-18d77b72e432,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,16.0,54.4
605a88b7-4697-510d-af18-bca7f8f17167,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,28.0,46.7
3e9da869-4dd8-5129-bbb2-bc20342f123a,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,17.0,49.5
f833e69f-06db-56de-896c-7b9ddbf14793,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,12.0,59.3
ed89fd8d-d3b6-52aa-9385-843d6c704e96,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,19.0,58.9
1343ac71-7bb8-53bf-9c1b-e34c20e471d1,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,17.0,54.6
14962f3b-e8ee-549a-9d06-0444aef95d93,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,12.0,
f1249309-f99b-52fe-b723-b8c9ac4b3bc3,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,27.0,53.8
9cdbb726-bf09-5860-868c-98e1a5123ff0,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,21.0,56.2
fce85ca8-cb7f-5afa-9124-b4439b9c6dd8,W002550,weak,0.5,distillery_id+name_fuzzy_weak(0.50),D1396,29.0,47.7
b4df6f56-6372-505a-a0e0-b7d713924932,W002550,weak,0.529,distillery_id+name_fuzzy_weak(0.57),D1396,11.0,59.8
65cdbe24-c4a7-5c16-b450-64417c0568f9,W002550,weak,0.526,distillery_id+name_fuzzy_weak(0.57),D1396,13.0,57.0
aca26396-0494-5af0-ac2b-ca204cd640ad,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,10.0,59.5
353b3d23-49a4-5684-a562-91cba32e6018,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,33.0,53.6
c834e6cf-201e-5c78-b010-be478b018e5c,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,39.0,50.3
86a1f3f7-e7a6-5c87-9819-61e00054cbd2,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,34.0,53.8
7f0912de-77f0-5325-a171-243b27dfce41,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,10.0,60.8
9afa2b83-efff-5b0f-b35a-e6e593a6b12c,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,10.0,60.3
45f12fdf-f747-5e38-af1b-bed2b6b6ba26,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,40.0,47.7
2ba5665a-cbc8-5e37-a862-f2bdcd6e1c7f,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,17.0,58.9
e7a008ba-5147-5e95-bb8f-03c21477c157,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,15.0,52.9
9c209d83-94ca-588a-9543-1c0d6e96b7be,W002550,weak,0.507,distillery_id+name_fuzzy_weak(0.52),D1396,17.0,56.7
29ca54bc-85d4-5ca8-bed3-866a744c26df,W003203,weak,0.6,distillery_id(only),D1784,17.0,56.2
14b2e951-1feb-51ee-995c-6bcea1f7f7a7,W003203,weak,0.6,distillery_id(only),D1784,14.0,56.5
6c3b67e2-8cc8-56af-8fd8-b4dc59094e5d,W003203,weak,0.6,distillery_id(only),D1784,10.0,58.8
27867c46-80ff-5d2f-8543-40156990ab2c,W003203,weak,0.6,distillery_id(only),D1784,21.0,52.4
d6a833f4-a84c-5766-ba3a-f0703b7a75b9,W003203,weak,0.6,distillery_id(only),D1784,23.0,59.2
4daf421f-9ddf-5d38-bb34-fed03de6764f,W003203,weak,0.6,distillery_id(only),D1784,11.0,61.5
c50f9cd6-5068-5ac0-b2fc-7b1ac82a7704,W003203,weak,0.6,distillery_id(only),D1784,10.0,58.8
90bf1294-089d-5aca-870f-a8900113a7c2,W003203,weak,0.6,distillery_id(only),D1784,21.0,51.3
2925e03e-0de8-52c4-bee4-58345c070f0f,W003203,weak,0.6,distillery_id(only),D1784,9.0,59.9
41eb0894-7a23-5007-9be6-559e8f495df4,W003203,weak,0.6,distillery_id(only),D1784,21.0,50.7
4ba206a5-3c3e-58fb-b5c9-ec8eda6f1013,W003203,weak,0.6,distillery_id(only),D1784,21.0,54.2
2f6a5b3d-100b-543c-b800-625f82a41b10,W003203,weak,0.6,distillery_id(only),D1784,17.0,59.3
0c472ef8-61f0-509f-b944-62256b9b053c,W003203,weak,0.6,distillery_id(only),D1784,23.0,51.0
1b455c7a-cb06-5dd3-b324-39ab0cf63c31,W003203,weak,0.6,distillery_id(only),D1784,17.0,
e7c90679-b948-5d05-8869-ca1720279d6e,W003203,weak,0.6,distillery_id(only),D1784,9.0,50.1
71b98e63-aa60-57a6-8857-ce260511dbed,W002295,weak,0.6,distillery_id(only),D1224,18.0,58.5
fb8f7cfa-78ee-54dc-8a41-e4b3ca1a7dfb,W002295,weak,0.6,distillery_id(only),D1224,28.0,56.4
