uuid_whisky_id,distillery_id,age,abv,name,reason
438c8685-481e-5fb3-ab5d-4e6a851e9d24,D1900,9.0,56.2,Scapa SMWS 17.32 - SMWS 17.32,distillery_id_absent_from_W_set
c689f2f3-bf99-50a5-ad12-b79b75e11892,D1900,11.0,56.1,Scapa SMWS 17.35 - SMWS 17.35,distillery_id_absent_from_W_set
0b2cffd1-564c-580d-8d74-de138672f942,D1874,24.0,55.6,Inchgower SMWS 018.23 - A Farmer's Friend,distillery_id_absent_from_W_set
9bc67431-e858-5c7c-a670-7983c28f14cf,D1864,17.0,54.1,"Glenglassaugh SMWS 021.22 - Seaweed, Soap and a Bracing Breeze",distillery_id_absent_from_W_set
a003e793-e244-55be-849d-627ccd0f169b,D1864,27.0,49.2,Glenglassaugh SMWS 21.25 - SMWS 21.25,distillery_id_absent_from_W_set
4f5137ff-db9b-50ed-aed2-5239a7953289,D1864,28.0,51.1,Glenglassaugh SMWS 021.26 - Cotton Candy and Lipstick,distillery_id_absent_from_W_set
5bddfb74-aa85-59b9-8787-898e36316ef3,D1867,14.0,58.6,Glenrothes SMWS 030.46 - Rich Fruits and Sherry,distillery_id_absent_from_W_set
1a201662-1db2-5a83-b106-cf45e7b24e53,D1867,19.0,55.9,Glenrothes SMWS 30.62 - SMWS 30.62,distillery_id_absent_from_W_set
bfd02fd3-2f68-5494-89f2-8d9f5b3fe69b,D1948,12.0,59.4,"Caperdonich SMWS 38.18 - Pepper, Lemon and Smoke",distillery_id_absent_from_W_set
3b9fddcc-d2e8-5b32-b263-19521428b3fb,D1948,63.0,58.7,Caperdonich SMWS 38.19 - Fun Time Whisky,distillery_id_absent_from_W_set
87258de8-1942-558a-8918-53377ccb7bce,D1948,16.0,57.4,Caperdonich SMWS 38.20 - SMWS 38.20,distillery_id_absent_from_W_set
9cf39599-6bc3-555c-8a87-75fc94c81667,D1948,17.0,58.0,Caperdonich SMWS 38.21 - SMWS 38.21,distillery_id_absent_from_W_set
1aedd086-0004-5f82-be3f-ac59e247b290,D1885,14.0,58.5,Linkwood SMWS 39.104 - SMWS 39.104,distillery_id_absent_from_W_set
89605e03-9f1d-56d7-a05f-d5715b3ee7d2,D1885,14.0,58.0,Linkwood SMWS 39.110 - SMWS 39.110,distillery_id_absent_from_W_set
c04d96e6-6a63-57c9-8442-c378c4a34148,D1885,19.0,54.9,"Linkwood SMWS 039.43 - Like a Lime Rickey, Fresh and Clean",distillery_id_absent_from_W_set
c79bbbcc-7ec6-5f12-99d1-56685992deda,D1885,16.0,59.6,Linkwood SMWS 039.52 - Linseed Oil on a Cricket Bat,distillery_id_absent_from_W_set
503ce28c-d1ed-54e5-aba5-eeb9bd1d271b,D1885,23.0,55.5,Linkwood SMWS 39.57 - Urbane and Demure,distillery_id_absent_from_W_set
5d7620b8-8700-5341-8367-bdfc4c989ad4,D1885,26.0,56.4,"Linkwood SMWS 39.71 - Ah yes,",distillery_id_absent_from_W_set
4e6807e5-e7c8-5446-be82-a46029dbc2e3,D1885,13.0,58.5,Linkwood SMWS 39.75 - SMWS 39.75,distillery_id_absent_from_W_set
3c154b07-aca5-59ce-a677-a29b043b961a,D1885,19.0,45.9,"Linkwood SMWS 39.81 - honeysuckle by a
    garden gate",distillery_id_absent_from_W_set
96cb248e-106e-5cc5-aad7-a2e5f389bd62,D1885,28.0,53.9,Linkwood SMWS 39.83 - SMWS 39.83,distillery_id_absent_from_W_set
32be3d9b-413c-5cfc-a053-d8dbab8bcd60,D1885,21.0,48.0,Linkwood SMWS 39.84 - SMWS 39.84,distillery_id_absent_from_W_set
