whisky_id,whisky_name,distillery_name,category,region,country,age_statement,source_name,source_url,raw_tasting_notes,raw_flavor_tags,fruity_score,sweet_score,smoky_score,spicy_score,woody_score,confidence,match_method,review_status,quality_flags
W001030,talisker storm,Talisker,Malt,Islands,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001030.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,8.0,0.0,5.0,0.0,high,exact,auto_candidate,ok
W001035,nikka yoichi nas,Yoichi,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001035.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",6.0,15.0,0.0,4.0,1.0,medium,fuzzy_token,manual_review,ok
W001036,westland peated,Westland Distillery,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001037,bowmore 15yo mariner,Bowmore,Malt,Islay,Unknown,15yo,original_production_data,https://www.whisky.com/whisky-database/details/W001037.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001038,bowmore 18yo,Bowmore,Malt,Islay,Unknown,18yo,original_production_data,https://www.whisky.com/whisky-database/details/W001038.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001039,bowmore vault edition first release,Bowmore,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001039.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001044,nikka miyagikyo 12yo,Miyagikyo,Malt,Unknown,Unknown,12yo,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001045,glenfiddich vintage cask,Glenfiddich,Malt,Speyside,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001045.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",5.0,6.0,0.0,0.0,1.0,medium,fuzzy_token,manual_review,ok
W001046,nikka miyagikyo 10yo,Miyagikyo,Malt,Unknown,Unknown,10yo,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001047,high coast (box) early days (batches 01/02),Box,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector|entity_normalization_review
W001048,spirit of hven seven stars no. 2 merak,Hven,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
