source,source_file,source_row,brand_name,type,owner,distillery,country,whisky_count,link,match_status,matched_id,confidence_score,review_status
whiskynet.pl,brands.csv,1,8 Doors,Distillery brand,Kerry and Derek Campbell,8 Doors,Scotland,0,https://whiskynet.pl/en/brands/8-doors,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,2,Aberargie,Distillery brand,Perth Distilling Co,Aberargie,Scotland,0,https://whiskynet.pl/en/brands/aberargie,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,3,Aberfeldy,Official brand,John Dewar & Sons,Aberfeldy Distillery,Scotland,3,https://whiskynet.pl/en/brands/aberfeldy,EXACT_MATCH,Aberfeldy,1.0,APPROVED
whiskynet.pl,brands.csv,4,Aberlour,Distillery brand,Pernod Ricard,Aberlour,Scotland,2,https://whiskynet.pl/en/brands/aberlour,EXACT_MATCH,Aberlour,1.0,APPROVED
whiskynet.pl,brands.csv,5,Abhainn Dearg,Distillery brand,Mark Tayburn,Abhainn Dearg,Scotland,0,https://whiskynet.pl/en/brands/abhainn-dearg,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,6,Adelphi,Independent bottler,Adelphi Distillery Co,—,Scotland,0,https://whiskynet.pl/en/brands/adelphi,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,7,Ailsa Bay,Distillery brand,William Grant & Sons,Ailsa Bay,Scotland,0,https://whiskynet.pl/en/brands/ailsa-bay,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,8,Akashi,Distillery brand,Eigashima Shuzo Co.,White Oak Distillery,Japan,2,https://whiskynet.pl/en/brands/akashi-whisky,EXACT_MATCH,Akashi,1.0,APPROVED
whiskynet.pl,brands.csv,9,Akkeshi,Distillery brand,"Akkeshi, Kenten Co. Ltd.",Akkeshi Distillery,Japan,0,https://whiskynet.pl/en/brands/akkeshi,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,10,Allt-A-Bhainne,Distillery brand,Pernod Ricard,Allt-A-Bhainne,Scotland,0,https://whiskynet.pl/en/brands/allt-a-bhainne,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,11,Amrut,Official brand,Amrut Distilleries Pvt. Ltd.,—,India,2,https://whiskynet.pl/en/brands/amrut,EXACT_MATCH,Amrut,1.0,APPROVED
whiskynet.pl,brands.csv,12,anCnoc,Distillery brand,Inver House Distillers,Knockdhu,Scotland,4,https://whiskynet.pl/en/brands/ancnoc,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,13,Annandale,Distillery brand,Annandale Distillery Company,Annandale Distillery,Scotland,0,https://whiskynet.pl/en/brands/annandale,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,14,Arbikie Highland Estate,Distillery brand,Arbikie Highland Estate,Arbikie,Scotland,0,https://whiskynet.pl/en/brands/arbikie-highland-estate,NEW,,1.0,MANUAL_REVIEW
