pattern_matched,filename,full_path,row_count,columns,size_bytes
*.zip,Install_TONEX_(1.9.0).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.9.0).zip,,,2070756756
*.zip,Install_TONEX_(1.9.1).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.9.1).zip,,,2076240187
*.zip,Install_TONEX_(1.9.2).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.9.2).zip,,,2076142781
*.zip,Install_TONEX_(1.9.3).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.9.3).zip,,,2146961117
*.db,Library.db,C:\Users\eltun\Documents\IK Multimedia\TONEX\Library.db,,,84733952
*.db,heavy_ad_intervention_opt_out.db,C:\Users\eltun\Documents\malt radar\frontend\.dart_tool\chrome-device\Default\heavy_ad_intervention_opt_out.db,,,16384
*30_high_confidence_flavor_profiles_wdb_mapped.csv,30_HIGH_CONFIDENCE_flavor_profiles_WDB_MAPPED.csv,C:\Users\eltun\Documents\malt radar\output\flavor\30_HIGH_CONFIDENCE_flavor_profiles_WDB_MAPPED.csv,119,whisky_id|old_whisky_id|whisky_name|production_bottle_name|mapped_name|mapping_score|mapping_method|flavor_profile|flavor_vector|flavor_tags|flavor_source|flavor_match_score|flavor_data_confidence|notes_for_review,60924
*tasting_notes*.csv,12_malt_list_tasting_notes_patch_preview.csv,C:\Users\eltun\Documents\malt radar\output\malt_list\12_malt_list_tasting_notes_patch_preview.csv,,Error reading: No columns to parse from file,2
*.db,pal.db,C:\Users\eltun\Documents\Native Instruments\Service Center\pal.db,,,28672
*.sqlite,launcher-v2.sqlite,C:\Users\eltun\Documents\Paradox Interactive\Crusader Kings III\launcher-v2.sqlite,,,118784
*.zip,4b22ef00-ec79-11ea-843e-7b7130948d68.zip,C:\Users\eltun\Documents\Paradox Interactive\Crusader Kings III\mod\pdx_11367\4b22ef00-ec79-11ea-843e-7b7130948d68.zip,,,15126245
*.zip,d31921b0-f816-11ea-9e79-31aa282d4071.zip,C:\Users\eltun\Documents\Paradox Interactive\Crusader Kings III\mod\pdx_12560\d31921b0-f816-11ea-9e79-31aa282d4071.zip,,,1039933012
*.rar,fm26schedules_366078.rar,C:\Users\eltun\Documents\Sports Interactive\Football Manager 26\set pieces\fm26schedules_366078.rar,,,1653
*tasting_notes*.csv,01_accepted_source_tasting_notes.csv,C:\Users\eltun\Documents\whisky taste\output\tasting\01_accepted_source_tasting_notes.csv,10,whisky|nose|palate|finish|source|data_confidence|extraction_method|source_url,4273
*tasting_notes*.csv,07_rejected_tasting_notes.csv,C:\Users\eltun\Documents\whisky taste\output\tasting\07_rejected_tasting_notes.csv,32,whisky_name|reason,2849
*.zip,1286949151_File_9746_metallica_.zip,C:\Users\eltun\Downloads\1286949151_File_9746_metallica_.zip,,,4038
*.zip,4b22ef00-ec79-11ea-843e-7b7130948d68.zip,C:\Users\eltun\Downloads\4b22ef00-ec79-11ea-843e-7b7130948d68.zip,,,15126245
*.zip,ableton_live_lite_12.1_64.zip,C:\Users\eltun\Downloads\ableton_live_lite_12.1_64.zip,,,2919411914
*.zip,apache-maven-3.9.9-bin.zip,C:\Users\eltun\Downloads\apache-maven-3.9.9-bin.zip,,,9202456
*.7z,Assembly-CSharp_0.2.407.7z,C:\Users\eltun\Downloads\Assembly-CSharp_0.2.407.7z,,,482312
*.7z,auto-creamapi-2.2.0.7z,C:\Users\eltun\Downloads\auto-creamapi-2.2.0.7z,,,1901883
*.rar,B.V1.0.3.B16683121-GDZ.rar,C:\Users\eltun\Downloads\B.V1.0.3.B16683121-GDZ.rar,,,376977630
*.zip,Bordalas Tactic Suite.zip,C:\Users\eltun\Downloads\Bordalas Tactic Suite.zip,,,3276
*.7z,CK B21475774~AG.7z,C:\Users\eltun\Downloads\CK B21475774~AG.7z,,,370322366
*.rar,Cyberpunk_2077_Update_from_v2.30_to_v2.31-ElAmigos.rar,C:\Users\eltun\Downloads\Cyberpunk_2077_Update_from_v2.30_to_v2.31-ElAmigos.rar,,,1020116710
*.zip,drive-download-20241122T100853Z-001.zip,C:\Users\eltun\Downloads\drive-download-20241122T100853Z-001.zip,,,9460598
*.zip,drive-download-20251221T120433Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20251221T120433Z-3-001.zip,,,4625648
*.zip,drive-download-20251221T120934Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20251221T120934Z-3-001.zip,,,3847615
*.zip,drive-download-20251221T121352Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20251221T121352Z-3-001.zip,,,20923126
*.zip,drive-download-20251221T121730Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20251221T121730Z-3-001.zip,,,4603298
*.zip,drive-download-20251221T122953Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20251221T122953Z-3-001.zip,,,5011421
*.zip,drive-download-20251221T123133Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20251221T123133Z-3-001.zip,,,9497819
*.zip,drive-download-20251221T123404Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20251221T123404Z-3-001.zip,,,3600679
*.zip,drive-download-20260422T201715Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20260422T201715Z-3-001.zip,,,5021351
*.zip,drive-download-20260423T085448Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20260423T085448Z-3-001.zip,,,13617420
*.zip,drive-download-20260426T072643Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20260426T072643Z-3-001.zip,,,70375
*.zip,drive-download-20260602T172945Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20260602T172945Z-3-001.zip,,,646209
*.zip,drive-download-20260603T202419Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20260603T202419Z-3-001.zip,,,134475
*.zip,drive-download-20260606T193327Z-3-001.zip,C:\Users\eltun\Downloads\drive-download-20260606T193327Z-3-001.zip,,,428023
*.zip,files.zip,C:\Users\eltun\Downloads\files.zip,,,3807
