queue_id,entity_key,field_name,proposed_value,confidence,source,status,classification
KB_528dcaf785744908b007,417aac1b-cbd2-5e52-8330-ca1f31547bcd,region,Islay,0.95,smws,pending,NO_CHANGE
KB_4557a5683b9448399065,9eed4bf3-025b-52d6-94aa-6a07e8433212,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_879ff597a4434149b5a4,9eed4bf3-025b-52d6-94aa-6a07e8433212,age,16.0,0.95,smws,pending,NO_CHANGE
KB_24dbdfaea00b44579973,9eed4bf3-025b-52d6-94aa-6a07e8433212,abv,57.9,0.95,smws,pending,NO_CHANGE
KB_5964853505b141268e50,9eed4bf3-025b-52d6-94aa-6a07e8433212,region,Islay,0.95,smws,pending,NO_CHANGE
KB_4104134e4163427a95af,bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,cask_type,butt;refill,0.95,smws,pending,NO_CHANGE
KB_e3864c4157f1459d887f,bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,age,14.0,0.95,smws,pending,NO_CHANGE
KB_f6793ef9aa554b9ebecd,bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,abv,57.2,0.95,smws,pending,NO_CHANGE
KB_2f9aad76f1f8444e8b33,bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,region,Islay,0.95,smws,pending,NO_CHANGE
KB_2bf03de67d9048c5801d,7d63ad9e-bce9-5249-8352-29a3cce2ac7e,cask_type,butt;refill,0.95,smws,pending,NO_CHANGE
KB_f11fce8b10eb47729a73,7d63ad9e-bce9-5249-8352-29a3cce2ac7e,age,14.0,0.95,smws,pending,NO_CHANGE
KB_61cc1b15910e4e1781a5,7d63ad9e-bce9-5249-8352-29a3cce2ac7e,abv,58.8,0.95,smws,pending,NO_CHANGE
KB_96d8236e48754b04820d,7d63ad9e-bce9-5249-8352-29a3cce2ac7e,region,Islay,0.95,smws,pending,NO_CHANGE
