file_name,smws_code,distillery_code,expression_name,age,vintage,bottling_year,abv,cask_type,region,outturn,price
063.23.pdf,63.23,63,,19,,,52.3,,,,
063.26.pdf,63.26,63,,21,,,52.6,,,,
063.27.pdf,63.27,63,,5,,,62.3,,,,
063.29.pdf,63.29,63,,23,,,53.0,,,,
063.31.pdf,63.31,63,,25,,,51.6,,,,
063.35.pdf,63.35,63,,25,,,50.7,,,,
064.11.pdf,064.11,064,Burnt Heather Dipped in Syrup,23,April '82 Alc,,62.2,,,,
064.13.pdf,64.13,64,Fizzy Sweets and Nutty Chocolate,13,June '92 Alc,,57.1,,"Highlands
           District",,
064.19.pdf,64.19,64,Woof!,8,,,61.5,,,,
064.21.pdf,64.21,64,,27,,,54.9,,,,
064.26.pdf,64.26,64,,21,,,48.7,,,,
064.27.pdf,64.27,64,,9,,,61.9,,,,
064.33.pdf,64.33,64,,8,,,62.3,,,,
064.35.pdf,64.35,64,,21,,,55.2,,,,
064.42.pdf,64.42,64,,22,,,55.6,,,,
064.43.pdf,64.43,64,,23,,,55.5,,,,
064.46.pdf,64.46,64,,12,,,56.7,,,,
064.50.pdf,64.50,64,,23,,,56.4,,,,
064.59.pdf,64.59,64,,11,,,62.6,,,,
064.65.pdf,64.65,64,,14,,,60.3,,,,
