smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
23.51,0.0,0.0,0.0,0.0,0.0,0.0,0.2
23.62,0.4,0.0,0.0,1.0,0.0,0.6,0.0
23.67,0.2,0.4,0.0,0.2,0.0,0.6,0.6
23.70,0.6,0.4,0.0,0.2,0.4,0.6,0.4
23.71,0.4,0.4,0.0,0.2,0.2,0.2,0.0
23.72,0.4,0.2,0.4,0.2,0.2,0.8,0.4
23.73,0.2,0.0,0.0,0.0,0.2,0.4,0.0
24.96,0.4,0.0,0.4,0.2,0.0,1.0,0.6
24.98,0.2,0.0,0.6,0.6,0.0,1.0,0.4
26.100,0.2,0.0,0.0,0.8,0.4,0.4,0.4
26.102,0.0,0.0,0.0,1.0,0.4,0.6,0.6
26.105,0.0,0.0,0.0,1.0,0.2,0.4,0.0
26.106,0.0,0.0,0.0,0.4,0.0,1.0,0.2
26.117,0.0,0.0,0.0,0.4,0.2,0.4,0.2
026.39,0.2,0.0,0.0,0.2,0.0,0.4,0.0
26.49,0.8,0.0,0.0,0.2,0.0,0.2,0.2
26.62,0.2,0.0,0.0,0.0,0.0,0.8,0.4
26.65,0.0,0.0,0.0,0.2,0.2,1.0,0.2
26.67,0.2,0.0,0.0,0.0,0.0,0.8,0.0
26.80,0.0,0.0,0.0,0.6,0.2,0.8,0.2
26.81,0.0,0.0,0.0,0.6,0.0,0.2,0.0
26.84,0.0,0.0,0.0,1.0,0.2,0.8,0.2
26.86,0.0,0.0,0.0,0.4,0.2,0.2,0.0
26.87,0.0,0.0,0.0,1.0,0.4,1.0,0.0
26.89,0.0,0.0,0.2,1.0,0.6,0.4,0.0
26.92,0.4,0.0,0.0,1.0,0.0,0.8,0.0
26.95,0.2,0.0,0.0,0.6,0.2,1.0,0.4
26.97,0.0,0.0,0.0,0.6,0.2,0.2,0.0
26.99,0.0,0.0,0.0,0.4,0.0,0.0,0.0
27.110,0.2,0.0,0.2,0.0,1.0,0.6,1.0
027.56,0.0,0.4,0.0,0.0,0.0,0.8,0.0
28.25,0.0,0.0,0.0,0.6,0.0,0.4,0.6
28.26,0.0,0.0,0.0,0.4,0.4,0.6,0.0
28.27,0.0,0.0,0.0,0.8,0.0,0.4,0.4
28.30,0.4,0.0,0.0,0.4,0.6,0.8,0.4
29.154,0.6,0.6,0.0,0.0,0.2,0.2,0.2
29.164,0.2,0.0,0.0,0.0,0.2,0.0,0.0
29.165,1.0,0.0,0.0,0.6,0.2,0.4,0.2
29.171,1.0,0.8,0.0,0.4,0.2,0.0,0.0
29.176,0.6,0.0,0.0,0.0,0.0,0.0,0.2
29.179,1.0,0.8,0.0,0.2,0.0,0.0,0.0
29.183,0.0,0.6,0.0,0.0,0.2,0.2,0.0
29.190,0.2,0.2,0.2,0.0,0.0,0.8,0.8
029.41,1.0,0.2,0.0,0.0,0.0,1.0,0.0
029.52,0.0,0.2,0.0,0.0,0.2,0.6,0.0
29.60,1.0,1.0,0.0,0.2,0.0,0.2,0.2
29.64,1.0,0.2,0.2,0.0,0.0,0.2,0.0
29.68,0.6,0.4,0.0,0.0,0.2,0.8,0.4
29.71,0.6,0.2,0.0,0.2,0.4,0.6,0.0
29.78,0.8,0.2,0.0,0.2,0.0,0.6,0.2
29.79,1.0,0.4,0.0,0.0,0.2,0.4,0.0
29.80,0.2,0.2,0.0,0.4,0.0,0.2,0.0
29.82,0.6,0.6,0.0,0.2,0.0,0.8,0.6
29.88,0.6,0.2,0.2,0.2,0.0,0.6,0.0
29.92,1.0,0.0,0.2,0.2,0.0,1.0,0.4
29.97,1.0,0.4,0.2,0.0,0.0,0.6,0.2
030.46,0.2,0.0,0.4,0.0,0.0,0.2,0.6
30.62,0.0,0.0,0.2,0.4,0.8,0.2,0.8
33.114,0.6,0.2,0.2,0.4,0.2,1.0,0.4
33.115,0.8,0.4,0.0,0.4,0.0,1.0,0.6
33.125,0.6,0.8,0.0,0.0,0.0,0.4,0.6
33.130,0.2,0.0,0.0,0.4,0.0,0.2,0.0
33.143,0.8,0.0,0.0,0.4,0.4,0.8,0.0
35.101,0.2,0.0,0.0,0.4,0.6,0.4,0.0
35.104,0.2,0.0,0.0,0.8,0.2,0.6,0.6
35.106,0.0,0.0,0.0,0.8,0.0,1.0,0.8
35.109,0.0,0.0,0.0,0.6,0.2,0.6,0.6
35.110,0.0,0.0,0.0,0.4,0.4,1.0,0.6
35.111,0.2,0.0,0.2,0.0,0.2,0.0,1.0
35.114,0.0,0.0,0.0,0.0,0.6,0.6,0.6
35.117,0.0,0.0,0.0,0.4,0.0,0.4,0.2
35.122,0.0,0.0,0.0,0.2,1.0,1.0,0.6
35.129,0.0,0.2,0.2,0.2,0.2,1.0,1.0
35.142,0.4,0.0,0.0,0.0,0.8,1.0,0.8
