whisky_id,field,column,existing_value,is_null,is_empty_string,is_whitespace,proposed_value,reason_skipped
41ff30fe-8319-5774-bd9c-ec01fb9413ab,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
427842ee-b573-5f93-87cb-6006930e7489,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4302fa92-9ccc-562b-91e1-e9f1c0c9ab5e,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
44928acd-7487-5a57-b1cf-453f11087454,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
44d8e157-3dcb-5a5c-b550-e6302534970a,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
44db02f0-d229-5eb3-ad25-2357b7019d6e,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
4516f723-86ae-5ecb-9ed5-7915078f513c,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
45996da7-518a-59ba-b614-6e14c20dd62c,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
45f12fdf-f747-5e38-af1b-bed2b6b6ba26,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
460c18d5-bf31-5734-b56d-298b407cc7da,region,region,,0,1,0,Lowland,skipped_existing_value_nonnull
462d11ab-27f1-5ee1-ae2a-9ede549f1041,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
463e6420-c042-5467-8a93-9d86c0640425,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
47003c2d-9022-52e2-9a2a-900c3621db60,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
472e681d-0af6-5ad3-929f-d79c11568bca,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4774d7b1-f99e-5ed0-b54e-5f6dac5ead08,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
477544ad-871e-5747-927e-c73dfd020c4d,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4968639a-5c6f-5170-a24f-491787ad174d,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
49cb6612-1208-5a5f-b429-17b5c8af8d5c,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
4a01c82a-3db3-5c8f-be3f-8e44c303493c,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4a5092b0-82c8-50a0-a478-dc77819b2261,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4a9ca920-e6e8-5174-be70-a21dd127f279,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4abe48d8-a74f-5fe1-973c-9dcfb08f7cf0,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
4b371400-8da6-5055-a3bb-e5572178e52d,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
4b3de087-6462-5231-a3d5-5f36575d60c2,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4ba206a5-3c3e-58fb-b5c9-ec8eda6f1013,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4bd25146-6032-5610-ba88-a6fc83328ab6,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4c1b4293-20a1-5b7e-80b9-793710b943e4,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4c32153c-e562-5860-900c-fd8e605492b5,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
4d5cc295-60dc-550a-877c-1dadbf07cc1f,region,region,,0,1,0,Campbeltown,skipped_existing_value_nonnull
4da4e3a7-11ef-5569-8929-0446461c150c,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4daf421f-9ddf-5d38-bb34-fed03de6764f,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4db5a47f-a3fa-559f-896f-25c1902824b7,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
4e6807e5-e7c8-5446-be82-a46029dbc2e3,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4eceb843-dc6e-5916-ac2a-5c8a146b0e51,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4f03178c-c4dd-5d45-aaf6-b658e5b972d1,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
4f2810a6-5206-5ea0-9716-c798a2e3c8e1,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
4f332474-6427-59b8-9f51-7305c5115a5d,region,region,,0,1,0,Campbeltown,skipped_existing_value_nonnull
4f363859-6736-5a47-a78b-caac43bd7035,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
4fc0f173-77cb-5d71-b84b-5b13ea7fa1b6,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
507f6bdb-bf78-5c19-a6e0-8e622b2c2d84,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
509c177d-1834-57d9-a630-68ddacb1fef9,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
50b0a8ef-c78a-5168-98e6-797f284bc67d,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
5113f64a-ab5f-512f-ac73-1a7c5d6cfd54,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
5124995e-02aa-5c3a-b755-b47e641297ec,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
51e65455-edaf-5f32-a2b2-940fde378821,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
52bef5e6-a5a3-5e3d-b5b9-94d7768fbd42,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
52e35574-90b6-5871-bfba-34ee0da64572,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
52ffae21-8045-5292-8d7a-c742b0b72196,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
535e571f-dd40-5900-a939-275b6c7bfa14,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
539c547d-92cd-5ec2-8edf-49b2dd3f1d91,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
544d8239-2c01-5e68-b3af-c0c4e846e788,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
