vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(0.0, 0.75, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002438,W003151",Glendronach Ode To The Dark Px Sherry Cask Matured | Crown Royal 31 Year Old Extra Rare Blend
"(0.25, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",2,2,exact,"W002455,W002655",Annandale Man O’Words 10 Year Old Single Cask No. 121 | Brush Creek Railroad (boxcar #1)
"(0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002458,W002524",Barrell 11 Year Old Full Proof Blend Of Straights | G4 Añejo
"(0.5, 0.25, 0.75, 0.75, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W002462,W002967",Old Fitzgerald 9 Year Old Bottled In Bond (spring 2025 Release) | King Of Kentucky 12 Year Old Small Batch (batch 1)
"(0.25, 0.75, 0.5, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0)",2,2,exact,"W002467,W003138",Michter’s Limited Release us*1 Barrel Strength (barrel 25b0605; 2025 Release) | Dingle Bealtaine
"(0.25, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002485,W003184",New Riff Sour Mash (2025 Vatting) | Rare Character Single Barrel Series Amburana Cask Finished Bourbon (barrel No. amb-b-09)
"(0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002491,W002997",Garavogue 20 Year Old Release no.1 | T Enmile Distillery Revolutionary Whisky Series Battle Of Stony Point
"(0.25, 0.25, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",2,2,exact,"W002511,W002665",El Tesoro Reposado | Four Gate Rye Downunder Finished In Australian Apera Sherry Casks (batch 16)
"(0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002543,W003016",aberlour a'bunadh alba cask strength • | T Ears Of Llorona Ode To Agave Extra Añejo
"(0.0, 0.25, 0.5, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25)",2,2,exact,"W002559,W003196",Glencadam 15 Year Old | Jack Daniel’s Distillery Series Twice Barreled (selection No. 13)
"(0.75, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0)",2,2,exact,"W002581,W003017",Buchanan’s Red Seal | Arette Gran Clase Single Cask Extra Añejo
"(0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W002597,W003074",Balvenie Rare Marriages 30 Year Old | Deanston 2002 20 Year Old Organic American Oak
"(0.0, 0.5, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002601,W002979",Prima & Ultima Royal 94 Lochnagar 40 Year Old 1981 | Willett Family Estate Small Batch 4 Year Old Cask Strength
"(0.0, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0)",2,2,exact,"W002607,W002930",Prima & Ultima mannochmore92 31 Year Old 1990 | Paul John Oloroso Select Cask
"(0.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0)",2,2,exact,"W002617,W003258",Tomintoul 30 Year Old 92 Robert Fleming 30th Anniversary 1st Edition | Boann P.X. Cask
"(0.0, 0.25, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002618,W002856",Larceny Barrel Proof (batch b522) | Minden Mill 4 Year Old
"(0.25, 0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0)",2,2,exact,"W002619,W002975",Stellum Equinox Blend No. 1 | High Wire Distilling Co. Jimmy Red Double Oak
"(0.25, 0.75, 0.75, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002621,W002859",American Highway Reserve Route 2 Blend Of Straights | The Ghost Series 23b Kanosuke Hioki Pot Still Single Cask (no. hg0287)
"(0.25, 0.25, 0.75, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,exact,"W002625,W002838",Lucky Seven The Frenchman French Oak Barrel Finished | George T. Stagg (buffalo Trace Antique Collection 2024)
"(0.0, 0.5, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002629,W003090",Dewar’s 8 Year Old French Smooth | Lochlea Small Batch American Oak Str Cask Matured
"(0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0)",2,2,exact,"W002637,W003079",Wyoming Whiskey 5 Year Old National Parks No. 2 | Glenmorangie The Lasanta 15 Year Old
"(0.0, 0.5, 1.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25)",2,2,exact,"W002639,W003222",Barrell Cask Strength Blend Of Straights (batch 033) | Buzzard’s Roost Bottled In Bond (batch 1)
"(0.25, 0.75, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",2,2,exact,"W002643,W003235",Hardin’s Creek Jacob’s Well | Rabbit Hole Founder’s Collection Boxergrail 8 Year Old
"(0.0, 0.25, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002649,W003176",Bluegrass Distillers Limited Release Toasted Oak | Kentucky Peerless Small Batch Rye
"(0.0, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002659,W003237",Middle West Spirits | WhistlePig Beyond Bonded Farmstock Single Barrel (2024 Release; Barrel No. 87720)
"(0.25, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,exact,"W002660,W003290",Alias | Yamazaki Islay Peated Malt (2024 Tsukuriwake Edition)
"(0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",2,2,exact,"W002674,W003146",ASM Whiskey Sherry Cask Finished | Bunnahabhain 40 Year Old
"(0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,exact,"W002733,W003145",Whiskey Del Bac Normandie Single Malt | Bowmore Appellations Collection 22 Year Old Sauternes Cask Finish
"(0.25, 0.25, 0.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002797,W003169",Buzzard’s Roost Cigar Rye (batch 3) | Patrón Cristalino Añejo
"(0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0)",2,2,exact,"W002817,W003096",Glen Scotia Double Cask | Dewar’s Double Double 20 Year Old Oloroso Sherry Cask Finished
"(0.0, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002819,W003105",Lady Of The Glen Blair Athol 2013 10 Year Old Reﬁll Barrique (cask No. 319876) | Barrell 5 Year Old Foundation Double Barrel Blend Of Straights
"(0.25, 1.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002860,W003203",The Ghost Series 23a Kanosuke Hioki Pot Still Single Cask (no. hg088) | Benrinnes 21 Year Old Grand Crescendo (diageo Special Releases 2024)
"(0.0, 1.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002866,W002878",Backbone Bourbon Prime Blended Bourbon (batch 15) | Drumshanbo Tawny Port Cask
"(0.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002876,W003021",Waterford Biodynamic Cuvée Luna | Drumshanbo Marsala Cask Finished
"(0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,exact,"W002928,W003028",Amrut Peated | Shortcross 5 Year Old Peated
"(0.0, 0.0, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002970,W003268",Three Chord Flipside Triple Wood T Oasted French Oak And American Oak Barrel Finished | Single Malts Of India Marudham
"(0.0, 0.0, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002971,W003125",Three Chord Strange Collab Finished In Pinot Noir Barrels | Barrell 33 Year Old French Oak & Olororo Sherry Cask Finished Cask Strength
"(0.25, 0.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002976,W003044",New Riff Winter Whiskey Bottled In Bond Malted Oat And Chocolate Malt | Penelope Wheated Four Grain
"(0.25, 1.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W003000,W003270",Calistoga Depot Prosperous & Penniless Buena Vista Cabernet Sauvignon Wine Finished Malted Rye Malt (batch no.1) | Kuju Distillery Green Dram
"(0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W003070,W003266",Deanston 18 Year Old | Kanosuke Hioki Pot Still
"(0.25, 0.75, 0.5, 1.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W003086,W003204","Loch Lomond Remarkable Ingenuity 13 Year Old | The ImpEx Collection Benrinnes 12 Year Old Single Cask (no. 306532; Distilled In 2011), $120"
"(0.0, 1.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W003130,W003275",Bushmills 2012 Private Reserve Series 12 Year Old Bordeaux Cask | Glenmorangie Pursuit Of Passion 27 Year Old Barbaresco Wine Cask Finish
"(0.25, 0.25, 0.25, 1.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W003175,W003271",Hard Truth Sweet Mash Barrel Strength Rye (batch 005) | Ki-One Batch 4 Peated
"(0.0, 0.0, 100.0, 67.0, 100.0, 0.0, 0.0)",2,1,,"W003583,W003584",Auchentoshan 12 | Auchentoshan Blood Oak
"(0.0, 0.0, 100.0, 100.0, 67.0, 0.0, 0.0)",2,2,,"W003601,W003698",Balvenie 21 Port Wood | Glenfarclas 18
"(33.0, 0.0, 100.0, 100.0, 67.0, 0.0, 0.0)",2,1,,"W003640,W003805",Chivas Regal 18 Gold Signature | Monkey Shoulder Batch 27
"(67.0, 0.0, 100.0, 100.0, 33.0, 0.0, 0.0)",2,2,,"W003654,W3389",Dalwhinnie 15 | Hakushu
"(0.0, 0.0, 100.0, 100.0, 67.0, 0.0, 33.0)",2,2,,"W003658,W3399",Deanston 18 | Hibiki
"(100.0, 100.0, 100.0, 100.0, 33.0, 100.0, 0.0)",2,1,,"W003791,W003827",Laphroaig 10 | Port Askaig 8
"(0.0, 0.0, 100.0, 100.0, 67.0, 0.0, 100.0)",2,2,,"W3533,W003704",Tullamore Dew | Glenfiddich 18
"(0.0, 0.0, 0.0, 33.0, 0.0, 0.0, 0.0)",2,2,,"W003559,W003719",Aberfeldy 16 | Glenmorangie 10
"(0.0, 0.0, 67.0, 100.0, 33.0, 0.0, 100.0)",2,1,,"W003694,W003763",Glendronach 15 Revival | Jura 12
"(0.0, 0.0, 50.0, 100.0, 100.0, 0.0, 0.0)",2,1,,"W3374,W003668",Four Roses | Four Roses Small Batch
"(0.0, 0.0, 0.0, 50.0, 100.0, 0.0, 0.0)",2,1,,"W3550,W003810",Woodford Reserve | Nikka Whisky From The Barrel
"(0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 100.0)",2,1,,"W003895,W003920",The Macallan Rare Cask Single Malt | The Macallan A Night on Earth in Jerez De La Frontera Single Malt
"(0.0, 20.0, 40.0, 40.0, 0.0, 0.0, 100.0)",2,2,,"W003798,W003952",Macallan 15 Double Cask | The Macallan Double Cask 15 yr
"(0.0, 0.0, 0.0, 100.0, 0.0, 20.0, 0.0)",2,1,,"W001541,W001541",Wayne Gretzky No. 99 Ice Cask | Wayne Gretzky No. 99 Ice Cask
"(0.0, 0.0, 0.0, 0.0, 66.0, 0.0, 100.0)",2,1,,"W001455,W001455",Forty Creek Double Barrel Reserve | Forty Creek Double Barrel Reserve
"(0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0)",2,1,,"W3548,W3548",Wild Turkey | Wild Turkey
"(0.0, 0.0, 20.0, 80.0, 100.0, 0.0, 0.0)",2,1,,"W001539,W001539",Crown Royal Black | Crown Royal Black
"(0.0, 0.0, 75.0, 25.0, 100.0, 0.0, 0.0)",2,0,,"W000885,W000885",Lohin Mckinnon Single Malt | Lohin Mckinnon Single Malt
"(0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 40.0)",2,0,,"W3499,W3499",Seagram's | Seagram's
"(0.0, 100.0, 0.0, 33.0, 0.0, 0.0, 33.0)",2,1,,"W3472,W3472",Penderyn | Penderyn
"(20.0, 80.0, 40.0, 0.0, 0.0, 0.0, 0.0)",2,1,,"W001831,W000374",Jack Daniel's Single Barrel Select | Game Of Thrones House Baratheon Royal Lochnagar 12 Ans
"(20.0, 60.0, 40.0, 20.0, 0.0, 0.0, 0.0)",2,0,,"W000993,W001585",Nikka Pure Malt Black | Pendleton Midnight
"(20.0, 20.0, 40.0, 20.0, 0.0, 0.0, 0.0)",2,2,,"W003846,W001357",The Deacon Blended Scotch Whisky | White Oak Akashi Blended
"(40.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0)",2,0,,"W003921,W001361",Kamiki Sakura Wood Whisky | Passport Blended Scotch
"(100.0, 60.0, 60.0, 0.0, 0.0, 0.0, 0.0)",2,2,,"W003888,W000666",Tamnavulin Sherry Cask Single Malt | Dalmore Valour
"(100.0, 100.0, 20.0, 0.0, 0.0, 0.0, 0.0)",2,1,,"W003784,W003581",Label 5 Classic Black | Arran Sauternes Cask Finish
"(100.0, 100.0, 60.0, 0.0, 0.0, 0.0, 0.0)",2,1,,"W000572,W000876",Yamazaki Distiller's Reserve | Game Of Thrones House Targaryen Cardhu Gold Reserve
"(0.0, 80.0, 60.0, 40.0, 0.0, 0.0, 0.0)",2,2,,"W000990,W001472",Game Of Thrones House Greyjoy Talisker Select Reserve | Michter's Single Barrel Straight Rye
"(0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0)",2,2,,"W001411,W001788",Forty Creek Unity | Basil Hayden’s Kentucky Bourbon
"(0.0, 20.0, 0.0, 60.0, 0.0, 0.0, 0.0)",2,2,,"W003836,W000425",Speyburn Bradan Orach | Amrut Double Cask
"(20.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,,"W001758,W000285",Smooth Ambler Contradiction Bourbon | Glenmorangie Dornoch
