vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(0.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W002070,W002368,W002898,W002916,W003224,W003230",Easy Rider 4 Year Old Kentucky Straight | Canadian Club Chronicles 43 Year Old The Speakeasy | RD1 Small Batch Brazilian Amburana Finished Straight Bourbon
"(0.0, 0.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W002073,W002085,W002117,W002575,W002899,W003171",Laws Whiskey House 6 Year Old San Luis Valley Bottled In Bond Straight (batch 1) | Hooten Young 12 Year Old (batch 1) Whiskey | Still Austin Cask Strength
"(0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W002090,W002461,W002586,W002644,W003024,W003186",J.J. Corry The Gael (batch 2) | Chattanooga Experimental Series Batch 043: Pre- Prohibition Style | Nor’easter Blended Bourbon
"(0.0, 0.5, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W002149,W002179,W002317,W002354,W002464,W002553",The ImpEx Collection Benrinnes 2008 16 Year Old | Chattanooga Whiskey Vintage Series Bottled In Bond Fall 2019 (batch 23118f) | Angel’s Envy Cask Strength Port Barrel-finished (2020 Release)
"(0.0, 1.0, 0.75, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W002240,W002264,W002402,W002636,W002972,W002986",Gordon & Macphail Private Collection The Recollection Series 46 Year Old Banff 1976 | Dewar’s Double Double 37 Year Old | Ohishi Tokubetsu Reserve
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25)",6,6,exact,"W002271,W002726,W002728,W002729,W002742,W002794",Drayman’s Highveld 5 Year Old French Oak Reserve • | Westland Outpost Range Garryana Single Malt (9th Edition) | Bainbridge Battle Point Two Islands Islay Cask Finished Wheat
"(0.0, 0.5, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W002347,W002422,W002446,W003165,W003209,W003245",Rabbit Hole Founder’s Collection Boxergrail Kentucky Straight | New Riff Bottled In Bond Balboa (2025 Release) | Tobermory 21 Year Old (2024 Release)
"(0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0)",6,4,,"W003869,W001576,W001576,W001480,W001480,W003916",Wild Turkey Rare Breed Barrel Proof Kentucky Straight Bourbon Whiskey | Wayne Gretzky No. 99 Red Cask | Wayne Gretzky No. 99 Red Cask
"(0.0, 0.0, 100.0, 66.0, 33.0, 66.0, 33.0)",6,0,,"W001562,W001562,W001562,W001562,W001562,W001562",Royal Canadian Small Batch | Royal Canadian Small Batch | Royal Canadian Small Batch
"(0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0)",6,1,,"W3499,W3499,W001584,W001584,W3358,W3358",Seagram's | Seagram's | Old Overholt
