whisky_id,name,class,enrichment_version,source_count,evidence_count,superseded_by
W001584,Old Overholt,real_vector,1,1,1,
W001585,Pendleton Midnight,real_vector,1,1,1,
W001586,Schenley Golden Wedding,real_vector,1,1,1,
W001586,Schenley Golden Wedding,real_vector,1,1,1,
W001586,Schenley Golden Wedding,real_vector,1,1,1,
W001660,Colonel E.h. Taylor Four Grain,real_vector,1,1,1,
W001685,barrell bourbon batch 017,all_zero,1,1,1,W001624
W001726,Corner Creek Reserve Bourbon,real_vector,1,1,1,
W001731,barrell bourbon batch 006,parse_fail,1,1,1,W001624
W001731,barrell bourbon batch 006,parse_fail,1,1,1,W001624
W001731,barrell bourbon batch 006,parse_fail,1,1,1,W001624
W001731,barrell bourbon batch 006,parse_fail,1,1,1,W001624
W001731,barrell bourbon batch 006,parse_fail,1,1,1,W001624
W001734,Willett Pot Still Reserve,real_vector,1,1,1,
W001755,Legent Bourbon,real_vector,1,1,1,
W001758,Smooth Ambler Contradiction Bourbon,real_vector,1,1,1,
W001788,Basil Hayden’s Kentucky Bourbon,real_vector,1,1,1,
W001789,Jim Beam Double Oak,real_vector,1,1,1,
W001803,Koval Single Barrel Millet Whiskey,all_zero,1,1,1,
W001811,stagg jr batch 2 (128.7 proof),real_vector,1,1,1,W3516
W001817,Jefferson's Very Small Batch Bourbon,real_vector,1,1,1,
W001821,Redemption High Rye Bourbon,all_zero,1,1,1,
W001831,Jack Daniel's Single Barrel Select,real_vector,1,1,1,
W001856,Bushmills NAS,real_vector,1,1,1,
W001873,Glendalough 12yo,real_vector,1,1,1,
W001879,Gooderham & Worts 10yo,real_vector,1,1,1,
W001882,Gooderham & Worts 30yo,real_vector,1,1,1,
W001883,Gouden Carolus 25yo,real_vector,1,1,1,
W001884,Gouden Carolus 3yo,real_vector,1,1,1,
W001890,Hiram Walker 15yo,real_vector,1,1,1,
W001891,Hiram Walker 16yo,real_vector,1,1,1,
W001892,Hiram Walker 17yo,real_vector,1,1,1,
W001901,Hiram Walker 9yo,real_vector,1,1,1,
W001905,Jack Daniel'S 7yo,real_vector,1,1,1,
W001915,Kanosuke 25yo,real_vector,1,1,1,
W001916,Karuizawa 10yo,real_vector,1,1,1,
W001918,Karuizawa 15yo,real_vector,1,1,1,
W001920,Karuizawa 18yo,real_vector,1,1,1,
W001921,Karuizawa 23yo,real_vector,1,1,1,
W001922,Karuizawa 25yo,real_vector,1,1,1,
W001930,Kavalan 50yo,real_vector,1,1,1,
W001933,Laphroaig NAS,real_vector,1,1,1,
W001944,Midleton 12yo,real_vector,1,1,1,
W001965,Potter 2yo,real_vector,1,1,1,
W001970,Sullivans Cove 9yo,real_vector,1,1,1,
W002563,dalmore 12 year old sherry cask select •,real_vector,1,1,1,W002305
W003558,Aberfeldy 12,real_vector,1,1,1,
W003559,Aberfeldy 16,real_vector,1,1,1,
W003561,Aberlour 12,parse_fail,1,1,1,
W003561,Aberlour 12,parse_fail,1,1,1,
W003561,Aberlour 12,parse_fail,1,1,1,
W003561,Aberlour 12,parse_fail,1,1,1,
W003561,Aberlour 12,parse_fail,1,1,1,
W003562,Aberlour 16 Double Cask,real_vector,1,1,1,
W003563,Akashi Blended Nas White Oak,real_vector,1,1,1,
W003564,Akashi Red,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003565,Amrut Indian Cask Strength,real_vector,1,1,1,
W003566,"Amrut Indian Fusion Single 50,0%",empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003567,anCnoc 12,parse_fail,1,1,1,
W003567,anCnoc 12,parse_fail,1,1,1,
W003567,anCnoc 12,parse_fail,1,1,1,
W003567,anCnoc 12,parse_fail,1,1,1,
W003567,anCnoc 12,parse_fail,1,1,1,
W003568,anCnoc 18,real_vector,1,1,1,
W003572,Ardbeg 8Y For Discussion,real_vector,1,1,1,
W003573,Ardbeg Smoketrails Cote Rotie,real_vector,1,1,1,
W003574,Ardbeg Spectacular,real_vector,1,1,1,
W003575,Ardbeg Twenty Something 23YO,real_vector,1,1,1,
W003576,Ardbeg Wee Beastie 5,real_vector,1,1,1,
W003577,Arran 10,real_vector,1,1,1,
W003581,Arran Sauternes Cask Finish,real_vector,1,1,1,
W003582,Arran Sherry Cask - The Bodega,real_vector,1,1,1,
W003583,Auchentoshan 12,real_vector,1,1,1,
W003584,Auchentoshan Blood Oak,real_vector,1,1,1,
W003586,Balblair 12,real_vector,1,1,1,
W003587,Balblair 15,real_vector,1,1,1,
W003588,Balblair 18,real_vector,1,1,1,
W003590,Ballantine's 12,real_vector,1,1,1,
W003592,Ballantine's 21,real_vector,1,1,1,
W003593,Ballantine's 7,real_vector,1,1,1,
W003594,Ballantine's Glenburgie 15,real_vector,1,1,1,
W003595,Ballantine's Glentaucher 15,real_vector,1,1,1,
W003596,Ballantine's Miltonduff 15,real_vector,1,1,1,
W003598,Balvenie 12 DoubleWood,real_vector,1,1,1,
W003599,Balvenie 14 Caribbean Cask,real_vector,1,1,1,
W003600,Balvenie 16 French Oak,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003601,Balvenie 21 Port Wood,real_vector,1,1,1,
W003604,Ben Bracken Speyside Single Malt Red,real_vector,1,1,1,
W003605,BenRiach 10,real_vector,1,1,1,
W003605,BenRiach 10,real_vector,1,1,1,
W003606,Benriach 10 - The Smoky Ten,real_vector,1,1,1,
W003607,BenRiach Peated Quarter Cask,real_vector,1,1,1,
W003608,Benriach The Twelve,real_vector,1,1,1,
W003609,Benromach 10,real_vector,1,1,1,
W003610,Benromach 15,real_vector,1,1,1,
W003611,Benromach Wood Finish Chateau Cissac,real_vector,1,1,1,
W003613,Black Bottle Blended Scotch,real_vector,1,1,1,
W003616,Blairmhor 8,real_vector,1,1,1,
W003617,Booker’s Bourbon Kentucky Straight Bourbon 2024-03,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003618,Bowmore 12,real_vector,1,1,1,
W003619,Buffalo Trace Kentucky Straight Bourbon Whiskey,real_vector,1,1,1,
W003621,Bunnahabhain 12,real_vector,1,1,1,
W003622,Bunnahabhain 18,real_vector,1,1,1,
W003623,"Bunnahabhain Fìon Canasta 51,2%",real_vector,1,1,1,
W003624,Bunnahabhain Moine,real_vector,1,1,1,
W003625,Bunnahabhain Stiùireadair,real_vector,1,1,1,
W003626,Bushmills 10,real_vector,1,1,1,
W003627,Bushmills 12 - Three Woods - 2024,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003628,Bushmills 12 Causeway Collection,real_vector,1,1,1,
W003629,Bushmills 14,real_vector,1,1,1,
W003630,Bushmills 16,parse_fail,1,1,1,
W003630,Bushmills 16,parse_fail,1,1,1,
W003630,Bushmills 16,parse_fail,1,1,1,
W003630,Bushmills 16,parse_fail,1,1,1,
W003630,Bushmills 16,parse_fail,1,1,1,
W003632,Bushmills The Original,real_vector,1,1,1,
W003633,Canadian Club Classic 12,sentinel_10,1,1,1,
W003633,Canadian Club Classic 12,sentinel_10,1,1,1,
W003635,Caol Ila 12,real_vector,1,1,1,
W003636,Cardhu Gold Reserve,real_vector,1,1,1,
W003637,Cedar Ridge Iowa Bourbon Whiskey,real_vector,1,1,1,
W003638,Cedar Ridge Malted Rye Whiskey,real_vector,1,1,1,
W003639,Chivas Regal 12,all_zero,1,1,1,
W003640,Chivas Regal 18 Gold Signature,real_vector,1,1,1,
W003641,Chivas Regal Extra,parse_fail,1,1,1,
W003641,Chivas Regal Extra,parse_fail,1,1,1,
W003641,Chivas Regal Extra,parse_fail,1,1,1,
W003641,Chivas Regal Extra,parse_fail,1,1,1,
W003641,Chivas Regal Extra,parse_fail,1,1,1,
W003642,Clynelish 14,real_vector,1,1,1,
W003644,Connemara Distillers Edition,real_vector,1,1,1,
W003646,Cotswold Single Malt,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003647,Cotswolds Peated Cask Single Malt,real_vector,1,1,1,
W003648,Cragganmore 12,real_vector,1,1,1,
W003650,Craigellachie 13,real_vector,1,1,1,
W003650,Craigellachie 13,real_vector,1,1,1,
W003651,Dalmore 12,real_vector,1,1,1,
W003652,Dalmore 12 Sherry Cask Select,real_vector,1,1,1,
W003653,Dalmore 15,real_vector,1,1,1,
W003654,Dalwhinnie 15,real_vector,1,1,1,
W003658,Deanston 18,real_vector,1,1,1,
W003659,Dewar's 12 The Ancestor,real_vector,1,1,1,
W003660,Dewar's White Label Blended Scotch,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003662,Elijah Craig 12 Barrel Proof,real_vector,1,1,1,
W003663,Elijah Craig Small Batch Ryder Cup 94,all_zero,1,1,1,
W003664,Elijah Craig Straight Rye 94,real_vector,1,1,1,
W003665,Finlaggan Original,real_vector,1,1,1,
W003666,Four Roses Kentucky Straight Bourbon,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003668,Four Roses Small Batch,real_vector,1,1,1,
W003670,Glen Garioch 12,real_vector,1,1,1,
W003671,Glen Keith 21,real_vector,1,1,1,
W003672,Glen Moray 15,real_vector,1,1,1,
W003673,Glen Moray Elgin Classic Chardonnay Cask Finish,real_vector,1,1,1,
W003674,Glen Moray Elgin Hearitage 12,real_vector,1,1,1,
